"street","time","2011","2012","2013","2014","2015","2016","lat","lon","station"
"An der Alster SW Lohmühlenstraße","7-9 und 13-18","3669","4863","6751","6414","7815","5436","53.560947","10.013726","518"
"August-Krogmann-Straße N Am Luisenhof","6-19","674","564","614","877","559","757","53.607356","10.116717","525"
"Bahrenfelder Chaussee NW Von-Sauer- Straße","6-19","489","661","851","1079","1281","1655","53.565798","9.910895","504"
"Beim Schlump NO Schröderstiftstraße","7-9 und 13-18","1254","2269","1606","1548","1657","2089","53.567529","9.970367","511"
"Dammtordamm N Esplanade","7-9 und 13-18","","","1610","2153","1602","2727","53.55822","9.989272","514"
"Dammtorstraße S Große Theaterstraße","6-19","684","","1607","2091","2911","2571","53.557042","9.98855","515"
"Elbchaussee NW Schenefelder Landstraße","7-9 und 13-18","293","427","530","511","519","685","53.560692","9.823230000000001","503"
"Frohmestraße SO Wendlohstraße","7-9 und 13-18","812","583","663","323","624","725","53.629108","9.930705","506"
"Frohmestraße W Schleswiger Damm ","6-19","1055","771","957","498","919","790","53.629412","9.931245","507"
"Hammer Straße N Horner Straße","7-9 und 13-18","157","134","142","88","210","139","53.559644","10.06983","531"
"Hoheluftchaussee SO Eppendorfer Weg","6-19","2434","3400","3176","3558","4051","4281","53.581924","9.971757999999999","509"
"Horner Landstraße W Washingtonallee","6-19","384","369","417","550","249","343","53.54258","10.095476","534"
"Horner Weg O Mettlerkampsweg","7-9 und 13-18","337","508","180","818","532","524","53.555459","10.06604","532"
"Hudtwalckerstraße W Sierichstraße","7-9 und 13-18","2528","1827","1392","4359","2203","3007","53.593918","9.995775","508"
"Kennedybrücke O Neuer Jungfernstieg","6-19","3596","5296","5457","6516","8820","6878","53.55854","9.994217000000001","516"
"Kleiner Schäferkamp SW Beim Schlump","7-9 und 13-18","1275","1979","1705","1436","1525","1877","53.567448","9.970097000000001","513"
"Lohbrügger Markt NO Alte Holstenstraße","7-9 und 13-18","629","674","154","710","440","452","53.494592","10.206314","535"
"Lombardsbrücke W Ferdinandstor","6-19","1313","2054","1899","2284","1987","2174","53.556049","10.000217","517"
"Meßberg W Deichtorplatz","6-19","548","931","767","1084","1404","960","53.547615","10.0017","520"
"Moorstraße O Wilstorfer Straße","7-9 und 13-18","341","288","376","243","383","644","53.456765","9.985455999999999","537"
"Saseler Chaussee N Stadtbahnstraße","7-9 und 13-18","286","203","461","419","358","123","53.653538","10.10682","521"
"Saseler Chaussee S Stadtbahnstraße","7-9 und 13-18","240","139","420","267","256","159","53.653664","10.106825","523"
"Schäferkampsallee NW Beim Schlump","7-9 und 13-18","774","1594","1296","1751","1107","1827","53.567622","9.970136999999999","510"
"Schenefelder Landstraße N Elbchaussee","7-9 und 13-18","190","408","236","287","298","275","53.560546","9.823565","502"
"Schöneberger Straße W Charlottenburger Straße","6-19","418","437","399","528","287","405","53.584004","10.14143","528"
"Schröderstiftstraße SO Beim Schlump","7-9 und 13-18","976","1531","1319","1303","1344","2066","53.567535","9.969937","512"
"Schulauer Weg W Tinsdaler Heideweg","7-9 und 13-18","115","196","205","216","119","176","53.57017","9.740359","501"
"Stadtbahnstraße O Saseler Chaussee","7-9 und 13-18","613","420","607","609","478","427","53.653707","10.107115","522"
"Stadtbahnstraße W Saseler Chaussee","7-9 und 13-18","645","442","905","721","435","420","53.653585","10.107021","524"
"Stein-Hardenberg-Straße NO Tonndorfer Hauptstraße","7-9 und 13-18","182","118","220","268","270","202","53.585344","10.118724","526"
"Tonndorfer Hauptstraße SO Stein- Hardenberg-Straße","7-9 und 13-18","159","168","199","342","337","308","53.585361","10.118563","527"
"Wandsbeker Allee N Wandsbeker Markt- straße","6-19","1449","1032","1208","1805","991","1376","53.573086","10.070475","529"
"Wandsbeker Marktstraße W Wandsbeker Allee","6-19","2353","1678","2103","2999","1521","2072","53.573144","10.070221","530"
"Washingtonallee N. Horner Landstraße","6-19","375","295","318","330","301","278","53.542612","10.096004","533"
"Wendlohstraße NO Schleswiger Damm","7-9 und 13-18","373","156","337","132","326","238","53.629342","9.931169000000001","505"
"Willi-Brandt-Straße W Kleiner Burstah","6-19","1446","1992","1824","2379","2945","2748","53.547411","9.988766","519"
"Wilstorfer Straße NW Moorstaße","7-9 und 13-18","513","493","355","352","651","797","53.45668","9.985352000000001","536"
"Wilstorfer Straße SO Moorstraße","7-9 und 13-18","471","361","469","314","476","553","53.456785","9.985148000000001","538"
